year,Average income (2008 $s),P0-90,P90-100,P95-100,P99-100
1917,16099,10642,65212,98657,285543
1918,15216,10126,61026,89754,242868
1919,15092,10009,60845,91059,247674
1920,13460,9121,52514,76250,199613
1921,11756,7422,50764,72428,183842
1922,13427,8396,58705,85785,229032
1923,14945,9721,61964,89004,233779
1924,14875,9188,66055,95533,259167
1925,15444,9206,71589,108137,312655
1926,15435,9311,70554,106853,307296
1927,15693,9299,73237,112019,329945
1928,16520,9308,81425,127414,395492
1929,17034,10086,79567,124293,380767
1930,14704,9171,64500,94292,253254
1931,13144,8099,58547,82099,203710
1932,10975,6540,50892,71707,170727
1933,10834,6549,49407,71912,178335
1934,11829,7126,54158,79761,193963
1935,12938,7979,57567,83541,215761
1936,14428,8561,67224,99951,278284
1937,14772,9153,65337,95332,253323
1938,13649,8481,60158,85565,215039
1939,14500,8778,66003,93611,234551
1940,15165,9218,68686,97729,249887
1941,17729,11439,74339,106346,279863
1942,20500,14548,74061,105791,275284
1943,23855,17576,80368,114899,293644
1944,23577,17679,76654,107346,265969
1945,23521,17138,80968,116640,294388
1946,23943,16840,87871,128171,317898
1947,22742,16590,78115,112249,271886
1948,23092,16674,80852,115713,282700
1949,22645,16417,78694,110985,265557
1950,24749,17719,88016,126386,317271
1951,25426,18584,87002,123067,299700
1952,26080,19354,86617,120330,281430
1953,27105,20387,87569,119333,268392
1954,27067,19959,91044,126121,291612
1955,29183,21421,99039,137719,322687
1956,30562,22595,102266,141360,326158
1957,30447,22670,100442,137650,309376
1958,29681,21911,99615,136098,302919
1959,31784,23307,108077,148685,338419
1960,31913,23589,106829,144082,320233
1961,32682,23874,111952,153615,347759
1962,33433,24629,112672,152493,332654
1963,34349,25271,116047,156932,340621
1964,36187,26367,124568,170090,379211
1965,37954,27503,132006,181239,413387
1966,39454,29076,132848,180855,401450
1967,40879,29776,140806,193784,438940
1968,42673,30892,148702,206116,478481
1969,42631,31296,144643,196818,441292
1970,41995,31437,137019,181948,379021
1971,42289,31324,140979,188250,397477
1972,44350,32728,148955,199741,427437
1973,45047,33369,150155,200133,412745
1974,43251,32050,144065,191326,394558
1975,40946,30285,136893,180008,363298
1976,42158,31191,140867,185283,373561
1977,42616,31449,143120,188573,384619
1978,43429,32096,145426,191400,388711
1979,43914,32100,150238,201399,437278
1980,42601,30941,147540,197394,426906
1981,42126,30638,145519,194087,421979
1982,41384,29735,146217,197241,446768
1983,41608,29412,151379,206807,480794
1984,43063,30271,158194,217782,516297
1985,44254,30702,166221,231155,560649
1986,47421,31282,192666,279665,754800
1987,45181,31001,172797,239809,572083
1988,47462,31310,192833,278027,735346
1989,47055,31326,188616,268662,681656
1990,46184,30802,184625,262383,661804
1991,44642,29987,176541,247524,596453
1992,45143,29683,184287,262415,662290
1993,44743,29488,182036,258014,637001
1994,45435,29895,185293,262548,646630
1995,46954,30200,197744,283830,715304
1996,48809,30650,212240,310004,814471
1997,51632,31757,230506,342227,930150
1998,54774,33235,248624,373502,1045522
1999,57367,34121,266579,404060,1149867
2000,58825,34245,280049,430670,1265975
2001,54747,33564,245394,365208,997496
2002,51927,32414,227544,333049,875749
2003,51627,31821,229881,338314,904924
2004,54268,32320,251797,379332,1071952
2005,56649,32521,273809,421007,1241527
2006,58139,32739,286742,442823,1326910
2007,60285,33666,299859,466222,1416885
2008,54315,31244,261951,396717,1137684
